図鑑No.,名前,登録済み？,詳細ページ,備考
1,フシギダネ,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%95%E3%82%B7%E3%82%AE%E3%83%80%E3%83%8D,
2,フシギソウ,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%95%E3%82%B7%E3%82%AE%E3%82%BD%E3%82%A6,
3,フシギバナ,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%95%E3%82%B7%E3%82%AE%E3%83%90%E3%83%8A,
4,ヒトカゲ,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%92%E3%83%88%E3%82%AB%E3%82%B2,
5,リザード,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%AA%E3%82%B6%E3%83%BC%E3%83%89,
6,リザードン,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%AA%E3%82%B6%E3%83%BC%E3%83%89%E3%83%B3,
7,ゼニガメ,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%82%BC%E3%83%8B%E3%82%AC%E3%83%A1,
8,カメール,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%82%AB%E3%83%A1%E3%83%BC%E3%83%AB,
9,カメックス,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%82%AB%E3%83%A1%E3%83%83%E3%82%AF%E3%82%B9,
10,キャタピー,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%82%AD%E3%83%A3%E3%82%BF%E3%83%94%E3%83%BC,
11,トランセル,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%88%E3%83%A9%E3%83%B3%E3%82%BB%E3%83%AB,
12,バタフリー,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%90%E3%82%BF%E3%83%95%E3%83%AA%E3%83%BC,
13,ビードル,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%93%E3%83%BC%E3%83%89%E3%83%AB,
14,コクーン,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%82%B3%E3%82%AF%E3%83%BC%E3%83%B3,
15,スピアー,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%82%B9%E3%83%94%E3%82%A2%E3%83%BC,
16,ポッポ,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%9D%E3%83%83%E3%83%9D,
17,ピジョン,FALSE,https://wiki.xn--rckteqa2e.com/wiki/%E3%83%94%E3%82%B8%E3%83%A7%E3%83%B3,
